Restaurant Rouge - Hôtel Chouleur,Restaurant Michelin,rouge@margaret-hotelchouleur.fr,,6 rue Fresque,30000,Nîmes,04 48 27 08 01,https://www.margaret-hotelchouleur.com
Le M du Mas Merlet,Restaurant gastronomique,contact@le-m-nimes.fr,,903 Chemin du Mas de Sorbier,30000,Nîmes,04 66 06 07 63,https://le-m-nimes.fr
Mas Merlet,Mas réception / mariage,contact@mas-merlet.com,,903 Chemin du Mas de Sorbier,30000,Nîmes,04 66 06 07 63,https://mas-merlet.com
La Table du 2,Restaurant Musée Romanité,contact@latabledu2.com,,2 rue de la République,30000,Nîmes,04 48 27 22 22,https://latabledu2.com
Office Notarial du Duché Sevcik Argouin,Notaire,sms.uzes@notaires.fr,,6 avenue Georges Chauvin,30700,Uzès,04 66 22 16 60,https://officenotarialduduche-sevcik-argouin-uzes.notaires.fr
Étude Voltaire (succ. Deimon),Notaire,etude.voltaire@notaires.fr,,6 Rue Fernand Pelloutier,30906,Nîmes,04 66 36 36 20,https://notaires-carredart-nimes.notaires.fr
Office Notarial Scribe (Durand),Notaire,etude.durand@notaires.fr,,8 Boulevard Lacombe,30200,Bagnols-sur-Cèze,04 66 89 60 62,https://notaire-scribe.fr
Notaires en Cèze (Lambert),Notaire,etude.lambertetassocies@notaires.fr,,53 Rue de la République,30200,Bagnols-sur-Cèze,04 66 89 61 08,
Office Notarial Martre Alary Simoncic-Carneiro,Notaire,martre-alary-simoncic@notaires.fr,,Alès,30100,Alès,04 66 52 06 75,https://martre-alary-simoncic.notaires.fr
EMS Avocats,Avocat,contact@ems-avocats.fr,,28 boulevard Victor Hugo,30000,Nîmes,,https://ems-avocats.fr
Cabinet Camille Monestier Avocat,Avocat,camille.monestier@gmail.com,,22 rue d'Avéjan,30100,Alès,07 81 29 54 29,https://www.camille-monestier.com
Cabinet Cindy Martinez Avocat,Avocat,avocat@cindymartinez.fr,,4 Rue Jean Julien Trélis,30100,Alès,06 37 76 23 18,https://www.cindymartinezavocat.com
CLR Avocats,Avocat,contact@clr-avocats.fr,,1 bis avenue de la Libération,30700,Uzès,,https://clr-avocats.fr
Cabinet ARCF Expert-Comptable,Expert-comptable,contact@cabinet-arcf.com,,180 rue Guy Arnaud,30900,Nîmes,04 66 23 63 53,http://cabinet-arcf.com
Exxactitude Expert-Comptable,Expert-comptable,contact@exxactitude.com,,Nîmes,30000,Nîmes,09 72 52 27 00,https://www.exxactitude.com
Nouvelle Clinique Bonnefon ELSAN,Clinique privée,secretariat-direction.bon@elsan.care,,45 avenue Carnot,30104,Alès,04 66 56 34 00,https://www.elsan.care/fr/nouvelle-clinique-bonnefon
Clinadent Centre Dentaire Nîmes,Centre dentaire,contact@clinadent.fr,,Nîmes,30000,Nîmes,04 66 28 25 69,https://clinadent.fr
Charme et Terroir Immobilier,Immobilier,contact@ctiuzes.com,,Uzès,30700,Uzès,04 66 72 98 71,https://www.ctiuzes.com
Imovimmo,Immobilier,contact@imovimmo.fr,,Uzès,30700,Uzès,04 66 01 48 03,https://www.imovimmo.fr
Centre Alès Immobilier,Immobilier,contact@centrealesimmo.fr,,Alès,30100,Alès,,https://www.centrealesimmo.fr
Laurent Immobilier,Immobilier,contact@laurent-immo.com,,Alès,30100,Alès,,https://www.laurent-immo.com
Agence Reynes Immobilier,Immobilier,contact@agence-reynes.fr,,6 Bis Rue Michelet,30100,Alès,04 66 52 77 97,https://www.agence-reynes.com
Nimea Immobilier,Immobilier,contact@nimea.fr,,2777 route de Courbessac,30000,Nîmes,04 66 67 97 80,https://www.nimea.fr
Montaury Immobilier,Immobilier,contact@montaury-immobilier.com,,60 avenue Georges Pompidou,30000,Nîmes,04 66 04 29 60,https://www.montaury-immobilier.com
Ausset Immobilier,Immobilier,contact@ausset.com,,4 Square Antonin,30000,Nîmes,04 66 21 14 46,https://ausset.com
Onze Productions,Agence communication & événementiel,contact@onze-productions.com,,25 Avenue Carnot,30000,Nîmes,09 83 54 33 16,https://onze-productions.com
Agence Fairytale,Wedding planner,contact@agencefairytale.com,,Nîmes,30000,Nîmes,06 21 22 70 70,https://agencefairytale.com
Egide Power,Installateur photovoltaïque,contact@egide-power.com,,545 Chemin du Chai Saint Césaire,30900,Nîmes,04 75 79 08 13,https://egide-power.com
Crédits O'Carré,Courtier en crédit,contact@credits-o-carre.com,,483 avenue Jean Prouvé,30900,Nîmes,04 66 06 83 47,https://www.credits-o-carre.com
Cabinet Montalban,Expert-comptable,contact@montalban.experts-comptables.fr,,7 Bis rue Saint Exupéry,30100,Alès,04 66 52 27 16,https://www.montalban.fr
SEC2AG (2AG Audit Assistance Gardois),Expert-comptable,gilles-julien.riviere@sec2ag.net,,175 Ancien Chemin de Méjannes,30100,Alès,04 66 52 37 16,https://www.sec2ag.net
La Grande Galerie Uzès,Galerie d'art,contact.lagrandegalerie@gmail.com,,18 Rue de La Grande Bourgade,30700,Uzès,06 72 28 04 67,https://www.la-grande-galerie.com
Prestaart Gallery,Galerie d'art contemporain,hs.prestaart@gmail.com,,6 place Dampmartin,30700,Uzès,06 61 26 53 27,https://www.prestaart.com
Antiquités Forest,Antiquaire,la.forest@wanadoo.fr,,Uzès,30700,Uzès,04 66 52 22 13,https://www.antiquites-forest.com
Domaine des Sauvaire,Viticulture IGP Cévennes,herve@domaine-sauvaire.fr,,Chemin du Mas de Reilhe,30260,Crespian,04 66 77 89 71,https://www.domaine-sauvaire.fr
Domaine Salle de Gours,Viticulture IGP Cévennes,salle.de.gour@wanadoo.fr,,Mas Salle de Gour,30170,Saint-Hippolyte-du-Fort,04 66 77 66 60,https://vin-cevennes.com
Domaine Cabanis,Viticulture Costières de Nîmes,contact@domainecabanis.com,,Vauvert,30600,Vauvert,,https://www.domainecabanis.com
Château Correnson,Viticulture Lirac,contact@chateau-correnson.fr,,Saint Geniès de Comolas,30150,Saint-Geniès-de-Comolas,,https://www.chateau-correnson.com
Château de L'Amarine,Viticulture Costières de Nîmes,chateaulamarine@wanadoo.fr,,Campuget,30129,Manduel,04 66 20 20 15,
Domaine de Bellevue Meger,Viticulture Côtes du Rhône Signargues,bellevuemeger@orange.fr,,36 Chemin D'Audonade,30390,Domazan,06 21 22 32 49,https://www.bellevue-meger.fr
Step'com,Agence de communication,gregoire@stepcom.fr,,715 bis Chemin du Chai,30900,Nîmes,04 66 63 98 57,https://www.stepcom.fr
Illunimes,Agence de communication,contact@illunimes.com,,190 rue André Simon,30000,Nîmes,06 17 39 57 97,https://illunimes.com
Nîmes Publicité (BIG X),Agence de communication,contact@nimes-publicite.fr,,Domaine des Gravières,30560,Saint-Hilaire-de-Brethmas,06 79 35 28 58,https://nimes-publicite.fr
Foncia Fabre Gibert Bagnols,Immobilier,fabregibertbagnols@foncia.fr,,41 avenue Jean Perrin,30200,Bagnols-sur-Cèze,,https://fr.foncia.com
Bel Immobilier Bagnols,Immobilier,n.belle@belimmobilier.immo,,Bagnols-sur-Cèze,30200,Bagnols-sur-Cèze,,
Office Notarial Fériaud Beaucaire,Notaire,feriaud.perrier.mestre@notaires.fr,,13T Cours Gambetta,30300,Beaucaire,04 66 59 21 26,https://www.feriaud-notaires.fr
Domaine de Trépaloup,Viticulture IGP Cévennes bio,,https://domainetrepaloup.com/contact,Rue du Moulin d'huile,30260,Saint-Clément,04 66 77 48 39,https://domainetrepaloup.com
Château l'Argentier,Viticulture Vin de Pays Gard,contact@chateauargentier.fr,,Chemin de l'Argentier,30250,Sommières,04 66 80 98 66,http://chateauargentier.fr
Château de Bouchassy,Viticulture Lirac,contact@chateaubouchassy.com,,3757 chemin de la Vallu,30150,Roquemaure,04 66 82 82 49,https://www.chateaubouchassy.com
Mas Isabelle,Viticulture Lirac,contact@mas-isabelle.com,,40 rue du Pont de Nizon,30126,Lirac,04 66 50 47 98,https://www.mas-isabelle.vin
Cave des Vignerons de Tavel & Lirac,Cave coopérative,contact@cave-tavel-lirac.fr,,685 rue Baron le Roy,30126,Tavel,04 66 50 03 57,https://cave-tavel-lirac.fr
Le Clos de Pradines,Hôtel restaurant,,https://clos-de-pradines.com/fr/contact,Place du Pigeonnier,30700,Saint-Quentin-la-Poterie,04 66 20 04 89,https://clos-de-pradines.com
Labruyère Immobilier,Immobilier,contact@labruyere-immobilier.com,,10 avenue de la Libération,30700,Uzès,04 66 03 41 71,https://labruyere-immobilier.com
SCP Belin Laurent Ortega Huissier,Commissaire de justice,belin.laurent@belin-laurent.com,,Nîmes,30000,Nîmes,04 66 29 18 14,https://www.huissier-justice-gard.fr
SCP Pelleriaux Gisclard Commissaire Justice,Commissaire de justice,etude@cdj-pgbc.fr,,1 rue Saint Marc,30012,Nîmes,04 66 21 88 94,
Domaine de Ceyrac,Gîte / domaine de réception,,https://www.domaine-ceyrac.com/fr/contact.php,Domaine de Ceyrac BP 37,30170,Conqueyrac,04 66 35 73 22,https://www.domaine-ceyrac.com
Clés du Paradis,Gîte / domaine mariage,clesduparadis@orange.fr,,Cros,30170,Saint-Hippolyte-du-Fort,04 66 71 35 58,https://gite-paradis.fr
La Magnanerie d'Hôtes,Maison d'hôtes,magnaneriedhotes30610@gmail.com,,Route de Fonsanges,30610,Sauve,06 75 92 72 78,https://www.la-magnanerie-dhotes.com
Le Marchand de Vins Uzès,Caviste,contact@lemarchanddevins.fr,,24 Bd Gambetta,30700,Uzès,04 66 72 56 54,https://uzesmarchanddevins.com
Gard O Vin,Caviste,gardovin@gmail.com,,3 Impasse du Marché,30000,Nîmes,09 52 15 79 74,
La Cave du Suisse d'Alger,Caviste,au-suisse-d-alger@wanadoo.fr,,12 Rue de la République,30700,Uzès,04 66 03 44 86,
Domaine Roc d'Anglade,Viticulture IGP Gard,contact@rocdanglade.fr,,700 Chemin de Vigne Croze,30980,Langlade,04 66 81 45 83,https://www.rocdanglade.fr
Domaine Fortuné,Viticulture bio,domaine.fortune@gmail.com,,9 Rue des Aires,30250,Souvignargues,04 66 77 11 94,https://www.domaine-fortune.com
Domaine La Jasse d'Isnard,Viticulture,domaine@jassedisnard.com,,D 288,30470,Aimargues,04 66 88 61 98,https://jassedisnard.com
Domaine Deleuze-Rochetin,Viticulture bio Duché d'Uzès,contact@deleuzerochetin.com,,20 Chemin du Moulin,30700,Arpaillargues-et-Aureillac,04 66 59 65 27,https://www.deleuzerochetin.com
Domaine Agarrus,Viticulture bio,serge.scherrer@free.fr,,23 Chemin de Garrian,30700,Vallabrix,04 66 68 29 21,
# Total: 103 leads
# Emails vérifiés (extraits d'une source textuelle réelle) : 100
# Formulaires uniquement (email pas trouvé) : 3
# Skippés totalement (pas exploitables) : non comptabilisé (plusieurs leads abandonnés en cours de recherche faute de source vérifiable)
# Sources principales utilisées : pagesjaunes.fr, societe.com, mentions légales sites, notaires.fr, tourismegard.com, vigneron-independant.com, costieres-nimes.org, sites institutionnels officiels
